Borough,Local authority,Political control,Headquarters,Area (sq mi),Population (2013 est),Latitude,Longitude,Nr. in map
Barking and Dagenham [note 1],Barking and Dagenham London Borough Council,Labour,"Town Hall, 1 Town Square",13.93,"194,352",51.53628,0.08148,25
Barnet,Barnet London Borough Council,Conservative,"North London Business Park, Oakleigh Road South",33.49,"369,088",51.652931,-0.19961,31
Bexley,Bexley London Borough Council,Conservative,"Civic Offices, 2 Watling Street",23.38,"236,687",51.441349,0.14861,23
Brent,Brent London Borough Council,Labour,"Brent Civic Centre, Engineers Way",16.7,"317,264",51.55225,-0.30262,12
Bromley,Bromley London Borough Council,Conservative,"Civic Centre, Stockwell Close",57.97,"317,899",51.405682,0.01435,20
Camden,Camden London Borough Council,Labour,"Camden Town Hall, Judd Street",8.4,"229,719",51.539188,-0.1425,11
Croydon,Croydon London Borough Council,Labour,"Bernard Weatherill House, Mint Walk",33.41,"372,752",51.37236,-0.1004,19
Ealing,Ealing London Borough Council,Labour,"Perceval House, 14-16 Uxbridge Road",21.44,"342,494",51.513351,-0.30421,13
Enfield,Enfield London Borough Council,Labour,"Civic Centre, Silver Street",31.74,"320,524",51.6521,-0.08153,30
Greenwich [note 2],Greenwich London Borough Council,Labour,"Woolwich Town Hall, Wellington Street",18.28,"264,008",51.482578,-0.007659,22
Hackney,Hackney London Borough Council,Labour,"Hackney Town Hall, Mare Street",7.36,"257,379",51.54579,-0.05542,9
Hammersmith and Fulham,Hammersmith and Fulham London Borough Council,Labour,"Town Hall, King Street",6.33,"178,685",51.48735,-0.22175,4
Haringey,Haringey London Borough Council,Labour,"Civic Centre, High Road",11.42,"263,386",51.5853,-0.12258,29
Harrow,Harrow London Borough Council,Labour,"Civic Centre, Station Road",19.49,"243,372",51.580559,-0.341995,32
Havering,Havering London Borough Council,Conservative (council NOC),"Town Hall, Main Road",43.35,"242,080",51.615829,0.18344,24
Hillingdon,Hillingdon London Borough Council,Conservative,"Civic Centre, High Street",44.67,"286,806",51.533581,-0.45258,33
Hounslow,Hounslow London Borough Council,Labour,"Hounslow House, 7 Bath Road",21.61,"262,407",51.46759,-0.3618,14
Islington,Islington London Borough Council,Labour,"Municipal Offices, 222 Upper Street",5.74,"215,667",51.53497,-0.10375,10
Kensington and Chelsea,Kensington and Chelsea London Borough Council,Conservative,"The Town Hall, Hornton Street",4.68,"155,594",51.48543,-0.1519,3
Kingston upon Thames,Kingston upon Thames London Borough Council,Liberal Democrat,"Guildhall, High Street",14.38,"166,793",51.41232,-0.30044,16
Lambeth,Lambeth London Borough Council,Labour,"Lambeth Town Hall, Brixton Hill",10.36,"314,242",51.48911,-0.11067,6
Lewisham,Lewisham London Borough Council,Labour,"Town Hall, 1 Catford Road",13.57,"286,180",51.45688,-0.01596,21
Merton,Merton London Borough Council,Labour,"Civic Centre, London Road",14.52,"203,223",51.41567,-0.19181,17
Newham,Newham London Borough Council,Labour,"Newham Dockside, 1000 Dockside Road",13.98,"318,227",51.51708,0.01753,27
Redbridge,Redbridge London Borough Council,Labour,"Town Hall, 128-142 High Road",21.78,"288,272",51.47601,-0.08077,26
Richmond upon Thames,Richmond upon Thames London Borough Council,Liberal Democrat,"Civic Centre, 44 York Street",22.17,"191,365",51.4479,-0.326,15
Southwark,Southwark London Borough Council,Labour,160 Tooley Street,11.14,"298,464",51.50172,-0.09796,7
Sutton,Sutton London Borough Council,Liberal Democrat,"Civic Offices, St Nicholas Way",16.93,"195,914",51.52322,-0.22502,18
Tower Hamlets,Tower Hamlets London Borough Council,Labour,"Town Hall, Mulberry Place, 5 Clove Crescent",7.63,"272,890",51.58875,-0.01891,8
Waltham Forest,Waltham Forest London Borough Council,Labour,"Waltham Forest Town Hall, Forest Road",14.99,"265,797",51.68746,-0.00457,28
Wandsworth,Wandsworth London Borough Council,Conservative,"The Town Hall, Wandsworth High Street",13.23,"310,516",51.45679,-0.19268,5
Westminster,Westminster City Council,Conservative,"Westminster City Hall, 64 Victoria Street",8.29,"226,841",51.50015,-0.12624,2
City of London,,? ,Guildhall,1.12,"7,000",51.513329,-0.08895,1
