Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2017,GLA Household Estimate 2017,Inland Area (Hectares),Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2015),Net international migration (2015),Net natural change (2015),% of resident population born abroad (2015),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2016),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Largest migrant population arrived during 2015/16,Second largest migrant population arrived during 2015/16,Third largest migrant population arrived during 2015/16,Employment rate (%) (2015),Male employment rate (2015),Female employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),% working-age with a disability (2015),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,"Gross Annual Pay, (2016)",Gross Annual Pay - Male (2016),Gross Annual Pay - Female (2016)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,E09000001,City of London,Inner London,8800,5326,290,30.3,43.2,11.4,73.1,15.5,-7,665,30,.,United States,2.8,France,2,Australia,1.9,27.5,17.1,975,152.2,India,France,United States,64.6,.,.,.,1.6,.,3.4,.,.,.,.,.,.
E09000002,E09000002,Barking and Dagenham,Outer London,209000,78188,3611,57.9,32.9,27.2,63.1,9.7,-1176,2509,2356,37.8,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,7538,59.1,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,4.5,5.7,10.5,17.2,11.3,32.2,27886,30104,24602
E09000003,E09000003,Barnet,Outer London,389600,151423,8675,44.9,37.3,21.1,64.9,14,-3379,5407,2757,35.2,India,3.1,Poland,2.4,Iran,2,38.7,23.4,13094,53.1,Romania,Poland,Italy,68.5,74.5,62.9,8.5,1.9,2.5,6.2,14.9,5.2,49,33443,36475,31235
E09000004,E09000004,Bexley,Outer London,244300,97736,6058,40.3,39,20.6,62.9,16.6,413,760,1095,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6,2198,14.4,Romania,Poland,Nigeria,75.1,82.1,68.5,7.6,2.9,3.4,6.8,15.9,10.8,33.5,34350,37881,28924
E09000005,E09000005,Brent,Outer London,332100,121048,4323,76.8,35.6,20.9,67.8,11.3,-7739,7640,3372,53.9,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,22162,100.9,Romania,Italy,Portugal,69.5,76,62.6,7.5,3.1,2.6,8.3,17.7,6.2,45.1,29812,30129,29600
E09000006,E09000006,Bromley,Outer London,327900,140602,15013,21.8,40.2,19.9,62.6,17.5,1342,796,1445,18.3,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,2924,14.4,Romania,Italy,Spain,75.3,80.4,70.4,5.3,2.5,4.3,6,15.9,4.3,46.7,37682,42026,32491
E09000007,E09000007,Camden,Inner London,242500,107654,2179,111.3,36.4,17.3,71,11.7,-2917,7504,1618,41.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,10384,60.7,Italy,France,Spain,69.2,72.2,66.1,4,3.6,4.4,8.5,21.3,6.1,61.1,39796,.,36632
E09000008,E09000008,Croydon,Outer London,386500,159010,8650,44.7,37,22,64.9,13,-2605,2438,3164,29.4,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,7946,32.3,Romania,Poland,Italy,75.4,81.8,69.5,4.1,4.8,3.3,7.8,17.5,7,40.6,32696,35839,29819
E09000009,E09000009,Ealing,Outer London,351600,132663,5554,63.3,36.2,21.4,66.8,11.8,-6473,4007,3404,47.4,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,14927,65.2,Poland,Romania,Italy,72.7,81.2,63.8,5.8,3,3,7.9,15.2,9.1,49.7,31331,32185,29875
E09000010,E09000010,Enfield,Outer London,333000,130328,8083,41.2,36.3,22.8,64.4,12.8,-2077,3164,2769,35,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,42.3,22.9,9259,43.8,Romania,Bulgaria,Poland,73,80.4,66,3.8,3.3,3.1,9.3,18.4,4.5,43.4,31603,35252,30222
E09000011,E09000011,Greenwich,Outer London,280100,113964,4733,59.2,35,21.9,67.7,10.4,-407,3366,2989,35.4,Nigeria,5.1,Nepal,1.9,India,1.7,40.3,16.9,7002,37.6,Romania,Bulgaria,Italy,72.1,77.9,66.3,8.1,5.4,5,9.5,20.2,10.6,42.2,32415,35596,29833
E09000012,E09000012,Hackney,Inner London,274300,115417,1905,144,33.1,20.7,72.1,7.2,-738,3359,3236,35.8,Turkey,3.6,Nigeria,2.7,Jamaica,1.8,43.6,24.1,8927,46,Italy,France,Spain,69,72.8,65.3,5.9,4.8,3,10.7,17.9,10.8,49.2,32056,.,31919
E09000013,E09000013,Hammersmith and Fulham,Inner London,185300,83552,1640,113,35.7,17.4,72.3,10.3,-3361,2926,1462,43.2,France,2.7,Ireland,2.7,Australia,2.5,33.7,22.7,9256,71.4,Italy,France,Spain,77.5,80.9,74.2,4.7,2.2,2.5,8.4,12.9,4.9,67.5,38041,43845,34808
E09000014,E09000014,Haringey,Inner London,278000,115608,2960,93.9,35.1,20,70.7,9.3,-4233,6675,2885,39.6,Poland,4.3,Turkey,4,Jamaica,2,38.2,29.7,15144,78.5,Romania,Italy,Bulgaria,71.3,77.6,64.8,5.7,5.6,3.5,9.7,16.3,8.8,49.2,31063,.,29513
E09000015,E09000015,Harrow,Outer London,252300,92557,5046,50,38.3,20.5,64.5,15,-3644,2833,1933,49.6,India,9,Kenya,4.9,Sri Lanka,4.3,61.8,28.5,10427,65.4,Romania,India,Poland,73.9,83.1,64.7,4.6,2.4,1.5,5.4,13.9,4.2,47.9,33202,.,29335
